eu (InventoryPlayer),,func_495_b,addItemsToInventory,Adds the j items of type i to inventory and returns the number of items that couldn't fit (0 if they all fit).,,,,,,,,,,,
InventoryPlayer,,func_496_a,setCurrentItem,Sets a specific itemID as the current item being held (only if it exists on the hotbar),,DUPLICATE,,,,,,,,,
eu (InventoryPlayer),,func_497_g,getFirstPartialMatchingStack,Returns the first item stack in inventory that matches the given item stack and isn't full.,,,,,,,,,,,
InventoryPlayer,,func_498_a,changeCurrentItem,Switch the current item to the next one or the previous one,,DUPLICATE,,,,,,,,,
eu (InventoryPlayer),,func_499_j,getFirstEmptyStack,Returns the first item stack that is empty.,,,,,,,,,,,
InventoryPlayer,,func_500_a,compareInventory,*,,,,,,,,,,,
InventoryPlayer,,func_501_a,compareItemStack,*,,,,,,,,,,,
InventoryPlayer,,func_502_a,getDamageVsEntity,Return damage vs an entity done by the current held weapon,or 1 if nothing is held,DUPLICATE,,,,,,,,,
InventoryPlayer,,func_503_g,dropAllItems,Drop all armor and main inventory items.,,,,,,,,,,,
InventoryPlayer,,func_504_a,addItemStackToInventory,"Adds the item stack to the inventory, returns false if it is impossible.",,,,,,,,,,,
InventoryPlayer,,func_505_f,getInventorySlotContainItem,Returns a slot index in main inventory containing a specific itemID,,DUPLICATE,,,,,,,,,
InventoryPlayer,,func_506_f,getTotalArmorValue,"Based on the damage values and maximum damage values of each armor item, returns the current armor value.",,,,,,,,,,,
InventoryPlayer,,func_507_e,damageArmor,Damages armor in each slot by the specified amount.,,,,,,,,,,,
InventoryPlayer,,func_508_a,getStrVsBlock,"Gets the strength of the current item (tool) against the specified block, 1.0f if not holding anything.",,,,,,,,,,,
InventoryPlayer,,func_509_b,canHarvestBlock,Returns whether the current item (tool) can harvest from the specified block (actually get a result).,,,,,,,,,,,
InventoryPlayer,,func_510_b,consumeInventoryItem,removed one item of specified itemID from inventory (if it is in a stack,the stack size will reduce with 1),DUPLICATE,,,,,,,,,
InventoryPlayer,,func_511_b,decrementAnimations,Decrement the number of animations remaining. Only called on client side. This is used to handle the animation of receiving a block.,,,,,,,,,,,
InventoryPlayer,,func_512_i,copyInventory,*,,,,,,,,,,,
InventoryPlayer,,func_513_b,readFromNBT,Reads from the given tag list and fills the slots in the inventory with the correct items.,,,,,,,,,,,
WorldGenFlowers,,func_516_a,generate,*,,,,,,,,,,,
WorldGenDungeons,,func_530_a,pickCheckLootItem,Picks potentially a random item to add to a dungeon chest.,,DUPLICATE,,,,,,,,,
WorldGenDungeons,,func_531_b,pickMobSpawner,Randomly decides which spawner to use in a dungeon,,DUPLICATE,,,,,,,,,
IChunkProvider,,func_533_b,provideChunk,Will return back a chunk,if it doesn't exist and its not a MP client it will generates all the blocks for the specified chunk from the map seed and chunk seed,DUPLICATE,,,,,,,,,
aw (IChunkProvider),,func_534_a,populate,Populates chunk with ores etc etc,,,,,,,,,,,
IChunkProvider,,func_535_a,saveChunks,Two modes of operation: if passed true,save all Chunks in one go.  If passed false,DUPLICATE,,,,,,,,,
lz (ChunkProviderClient),,func_537_a,chunkExists,"Checks to see if a chunk exists at x, y",,,,,,,,,,,
ChunkProviderLoadOrGenerate,,func_540_b,saveChunk,Save a given Chunk,recording the time in lastSaveTime,DUPLICATE,,,,,,,,,
ChunkProviderLoadOrGenerate,,func_541_a,saveExtraChunkData,Save extra data associated with this Chunk not normally saved during autosave,only during chunk unload.  Currently unused.,DUPLICATE,,,,,,,,,
lm (Gui),,func_547_b,drawString,Renders the specified text to the screen.,,,,,,,,,,,
lm (Gui),,func_548_a,drawCenteredString,"Renders the specified text to the screen, center-aligned.",,,,,,,,,,,
,,func_549_a,drawGradientRect,Draws a rectangle with a vertical gradient between the specified colors.,,,,,,,,,,,
,,func_550_b,drawTexturedModalRect,Draws a textured rectangle at the stored z-value.,,,,,,,,,,,
,,func_551_a,drawRect,Draws a solid color rectangle with the specified coordinates and color.,,,,,,,,,,,
GuiIngame,,func_552_a,addChatMessage,Adds a chat message to the list of chat messages. Args: msg,,,,,,,,,,,
GuiButton,,func_558_a,getHoverState,"Returns 0 if the button is disabled, 1 if the mouse is NOT hovering over this button and 2 if it IS hovering over this button.",,,,,,,,,,,
GuiButton,,func_559_a,mouseReleased,Fired when the mouse button is released. Equivalent of MouseListener.mouseReleased(MouseEvent e).,,,,,,,,,,,
GuiButton,,func_560_b,mouseDragged,Fired when the mouse button is dragged. Equivalent of MouseListener.mouseDragged(MouseEvent e).,,,,,,,,,,,
GuiButton,,func_561_a,drawButton,Draws this button to the screen.,,,,,,,,,,,
GuiButton,,func_562_c,mousePressed,Returns true if the mouse has been pressed on this control. Equivalent of MouseListener.mousePressed(MouseEvent e).,,,,,,,,,,,
bh (GuiScreen),,func_564_d,handleInput,Delegates mouse and keyboard input.,,,,,,,,,,,
bh (GuiScreen),,func_565_a,mouseClicked,Called when the mouse is clicked.,,,,,,,,,,,
bh (GuiScreen),,func_566_e,handleMouseInput,Handles mouse input.,,,,,,,,,,,
bh (GuiScreen),,func_568_a,deleteWorld,Deletes the selected world.,,,,,,,,,,,
bh (GuiScreen),,func_569_f,handleKeyboardInput,Handles keyboard input.,,,,,,,,,,,
bh (GuiScreen),,func_570_g,updateScreen,Called from the main game loop to update the screen.,,,,,,,,,,,
bh (GuiScreen),,func_571_a,drawScreen,Draws the screen and all the components in it.,,,,,,,,,,,
bh (GuiScreen),,func_572_a,actionPerformed,Fired when a control is clicked. This is the equivalent of ActionListener.actionPerformed(ActionEvent e).,,,,,,,,,,,
GuiScreen,,func_573_b,mouseMovedOrUp,Called when the mouse is moved or a mouse button is released.  Signature: (mouseX,mouseY,DUPLICATE,,,,,,,,,
bh (GuiScreen),,func_574_c,getClipboardString,Returns a string stored in the system clipboard.,,,,,,,,,,,
GuiScreen,,func_578_i,drawDefaultBackground,Draws either a gradient over the background screen (when it exists) or a flat gradient over background.png,,DUPLICATE,,,,,,,,,
GuiScreen,,func_579_b,drawBackground,Draws the background (i is always 0 as of 1.2.2),,DUPLICATE,,,,,,,,,
bh (GuiScreen),,func_580_a,keyTyped,Fired when a key is typed. This is the equivalent of KeyListener.keyTyped(KeyEvent e).,,,,,,,,,,,
mn (GuiConnecting),,func_581_a,isCancelled,"Returns true if the connection attempt has been cancelled, false otherwise.",,,,,,,,,,,
mn (GuiConnecting),,func_582_a,setNetClientHandler,Sets the NetClientHandler.,,,,,,,,,,,
mn (GuiConnecting),,func_583_b,getNetClientHandler,Gets the NetClientHandler.,,,,,,,,,,,
GuiDeleteWorld,,func_584_c,selectWorld,Gets the selected world.,,,,,,,,,,,
GuiDeleteWorld,,func_585_j,initGui2,"Adds the delete world"" and ""cancel"" buttons to the screen.""",,,,,,,,,,,
jq (GuiSelectWorld),,func_586_d,getWorldName,Returns the name of the selected world.,,,,,,,,,,,
GuiChest,,func_587_j,drawGuiContainerForegroundLayer,Draw the foreground layer for the GuiContainer (everythin in front of the items),,DUPLICATE,,,,,,,,,
ee (GuiContainer),,func_588_a,getSlotAtPosition,Returns the slot at the given coordinates or null if there is none.,,,,,,,,,,,
GuiChest,,func_589_a,drawGuiContainerBackgroundLayer,Draw the background layer for the GuiContainer (everything behind the items),,DUPLICATE,,,,,,,,,
GuiContainer,,func_590_a,drawSlotInventory,Draws an inventory slot,,DUPLICATE,,,,,,,,,
cx (GuiMainMenu),,func_592_j,getRand,Returns the random number generator.,,,,,,,,,,,
LoadingScreenRenderer,,func_593_a,setLoadingProgress,Updates the progress bar on the loading screen to the specified amount. Args: loadProgress,,,,,,,,,,,
LoadingScreenRenderer,,func_595_d,displayLoadingString,Displays a string on the loading screen supposed to indicate what is being done currently.,,,,,,,,,,,
cn (World),,func_598_c,getLightBrightness,"Returns how bright the block is shown as which is the block's light value looked up in a lookup table (light values aren't linear for brihgtness). Args: x, y, z",,,,,,,,,,,
nm (IBlockAccess),,func_599_f,getBlockMaterial,Returns the block's material.,,,,,,,,,,,
nm (IBlockAccess),,func_600_a,getBlockId,"Returns the block ID at coords x,y,z",,,,,,,,,,,
ChunkCache,,func_601_g,isBlockOpaqueCube,"Returns true if the block at the specified coordinates is an opaque cube. Args: x, y, z",,,,,,,,,,,
nm (IBlockAccess),,func_602_e,getBlockMetadata,"Returns the block metadata at coords x,y,z",,,,,,,,,,,
ChunkCache,,func_603_b,getBlockTileEntity,Returns the TileEntity associated with a given block in X,Y,DUPLICATE,,,,,,,,,
World,,func_604_a,checkIfAABBIsClear,"Returns true if there are no solid, live entities in the specified AxisAlignedBB",,,,,,,,,,,
World,,func_605_c,isBoundingBoxBurning,Returns whether or not the given bounding box is on fire or not,,DUPLICATE,,,,,,,,,
World,,func_606_b,obtainEntitySkin,Start the skin for this entity downloading,if necessary,DUPLICATE,,,,,,,,,
World,,func_607_d,setEntityDead,Not sure what this does 100%,but from the calling methods this method should be called like this.,DUPLICATE,,,,,,,,,
cn (World),,func_609_a,getClosestPlayerToEntity,"Gets the closest player to the entity within the specified distance (if distance is less than 0 then ignored). Args: entity, dist",,,,,,,,,,,
cn (World),,func_611_g,notifyBlocksOfNeighborChange,"Notifies neighboring blocks that this specified block changed  Args: x, y, z, blockID",,,,,,,,,,,
World,,func_612_i,onBlockHit,"Called whenever a block gets hit. Args: x, y, z, side",,,,,,,,,,,
,,func_613_a,addWorldAccess,Adds a IWorldAccess to the list of worldAccesses,,,,,,,,,,,
cn (World),,func_615_b,deleteWorld,Deletes the specified world.,,,,,,,,,,,
cn (World),,func_617_e,notifyBlockChange,"The block type change and need to notify other systems  Args: x, y, z, blockID",,,,,,,,,,,
cn (World),,func_618_j,getBlockLightValue,Gets the light value of a block location,,,,,,,,,,,
World,,func_619_c,getCelestialAngle,calls calculateCelestialAngle,,,,,,,,,,,
cn (World),,func_620_h,chunkExists,"Returns whether a chunk exists at chunk coordinates x, y",,,,,,,,,,,
cn (World),,func_621_b,countEntities,Counts how many entities of an entity class exist in the world. Args: entityClass,,,,,,,,,,,
cn (World),,func_623_a,playSoundAtEntity,"Plays a sound at the entity's position. Args: entity, sound, unknown1, unknown2",,,,,,,,,,,
net/minecraft/client/MinecraftApplet,,func_6232_b,shutdown,Called when the applet window is closed.,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6239_p,respawn,Called when the respawn button is pressed after the player dies.,,,,,,,,,,,
cn (World),,func_624_b,isDaytime,Checks whether its daytime by seeing if the light subtracted from the skylight is less than 4,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6240_b,getDataFolder,Gets the minecraft directory.,DUPLICATE,DUPLICATE,,,,,,,,,
net/minecraft/client/Minecraft,,func_6242_u,forceReload,Forces a reload of the sound manager and all the resources. Called in game by holding 'F3' and pressing 'S'.,,,,,,,,,,,
Minecraft,,func_6243_a,clickMouse,Called whenever the mouse is clicked. Button clicked is 0 for left clicking and 1 for right clicking. Args: buttonClicked,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6244_d,shutdown,"Called when the window is closing. Sets ""running"" to false which allows the game loop to exit cleanly.",,,,,,,,,,,
Minecraft,,func_6246_i,runTick,Runs the current tick.,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6249_a,resize,Called to resize the current screen.,,,,,,,,,,,
cn (World),,func_625_o,isBlockIndirectlyGettingPowered,"Used to see if one of the blocks next to you or your block is getting power from a neighboring block. Used by items like TNT or Doors so they don't have redstone going straight into them.  Args: x, y, z",,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6250_c,checkGLError,"Checks for an OpenGL error. If there is one, prints the error ID and error string.",,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6257_q,loadScreen,Displays a new screen.,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6260_j,isMultiplayerWorld,"Checks if the current world is a multiplayer world, returns true if it is, false otherwise.",,,,,,,,,,,
Minecraft,,func_6264_a,getAppDir,gets the working dir (OS specific) for the specific application (which is always minecraft),,DUPLICATE,,,,,,,,,
Minecraft,,func_6265_t,clickMiddleMouseButton,Called when the middle mouse button gets clicked,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6267_r,getOs,,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6268_a,installResource,Installs a resource. Currently only sounds are download so this method just adds them to the SoundManager.,,,,,,,,,,,
net/minecraft/client/Minecraft,,func_6270_h,toggleFullscreen,Toggles fullscreen mode.,,,,,,,,,,,
Minecraft,,func_6271_a,startGame,"Starts the game: initializes the canvas, the title, the settings, etcetera.",,,,,,,,,,,
Minecraft,,func_6272_a,displayGuiScreen,Sets the argument GuiScreen as the main (topmost visible) screen.,,DUPLICATE,,,,,,,,,
World,,func_630_d,blockExists,Returns whether a block exists at world coordinates x,y,DUPLICATE,,,,,,,,,
Render,,func_6329_a,getFontRendererFromRenderManager,Returns the font renderer from the set render manager,,DUPLICATE,,,,,,,,,
cn (World),,func_634_a,setBlock,"Sets the block to the specified blockID at the block coordinates Args x, y, z, blockID",,,,,,,,,,,
cn (World),,func_635_c,setBlockMetadata,Set the metadata of a block in global coordinates,,,,,,,,,,,
BlockRedstoneTorch,,func_6356_h,isAttachedBlockProvidingPower,Check if the block this torch is attached to is powering it (i.e. turning it off),,DUPLICATE,,,,,,,,,
World,,func_637_a,getEntityPathToXYZ,Returns a path between an entity and XYZ coords,,,,,,,,,,,
of (SoundManager),,func_6373_b,addStreaming,Adds an audio file to the streaming SoundPool.,,,,,,,,,,,
of (SoundManager),,func_6374_c,addMusic,Adds an audio file to the music SoundPool.,,,,,,,,,,,
kh (Entity),,func_6375_a,setVelocity,"Sets the velocity to the args. Args: x, y, z",,,,,,,,,,,
EntityLiving,,func_6376_z,getEntityTexture,returns the directory and filename as a String,,,,,,,,,,,
kh (Entity),,func_6377_h,mountEntity,"Called when a player mounts an entity. e.g. mounts a pig, mounts a boat.",,--,,,,,,,,,
kh (Entity),,func_6378_b,onCollideWithPlayer,Called by a player entity when they collide with an entity,,,,,,,,,,,
EntityGhast,,func_6389_d,getLivingSound,Returns the sound this mob makes while it's alive.,,,,,,,,,,,
World,,func_639_a,saveWorld,Saves the data for this World.  If passed true,then only save up to 2 chunks,DUPLICATE,,,,,,,,,
EntityGhast,,func_6390_f,getDeathSound,Returns the sound this mob makes on death.,,,,,,,,,,,
EntityGhast,,func_6393_h,getSoundVolume,Returns the volume for the sounds this mob makes.,,,,,,,,,,,
EntityGhast,,func_6394_f_,getHurtSound,Returns the sound this mob makes when it is hurt.,,,,,,,,,,,
cn (World),,func_640_a,checkChunksExist,"Checks between a min and max all the chunks inbetween actually exist. Args: minX, minY, minZ, maxX, maxY, maxZ",,,,,,,,,,,
cn (World),,func_641_a,getSavedLightValue,Returns saved light value without taking into account the time of day.  Either looks in the sky light map or block light map based on the enumSkyBlock arg.,,,,,,,,,,,
EntityPlayer,,func_6416_v,getCurrentEquippedItem,Returns the currently being used item by the player.,,,,,,,,,,,
EntityPlayerSP,,func_6419_n,getPlayerArmorValue,*,,,,,,,,,,,
World,,func_642_a,rayTraceBlocks,*,,,,,,,,,,,
World,,func_643_a,setBlockAndMetadata,Sets the block ID and metadata of a block in global coordinates,,DUPLICATE,,,,,,,,,
cn (World),,func_644_f,calculateInitialSkylight,Called on construction of the World class to setup the initial skylight values,,,,,,,,,,,
GuiScreen,,func_6447_a,setWorldAndResolution,,DUPLICATE,DUPLICATE,,,,,,,,,
bh (GuiScreen),,func_6448_a,initGui,"Initialises the GUI screen, adding and layout out the components.",DUPLICATE,DUPLICATE,,,,,,,,,
GuiScreen,,func_6449_h,onGuiClosed,Called when the screen is unloaded. Used to disable keyboard repeat events,,,,,,,,,,,
World,,func_645_a,rayTraceBlocks,*,,,,,,,,,,,
GuiGameOver,,func_6450_b,doesGuiPauseGame,Returns true if this GUI should pause the game when it is displayed in single-player,DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_646_n,isBlockGettingPowered,"Whether one of the neighboring blocks is putting power into this block. Args: x, y, z",,,,,,,,,,,
cn (World),,func_647_i,canBlockSeeTheSky,Checks if the specified block is able to see the sky,,,,,,,,,,,
PlayerController,,func_6470_c,sendBlockRemoving,Notifies the server of your progress in removing a block,,,,,,,,,,,
PlayerController,,func_6471_a,sendUseItem,"Notifies the server of things like consuming food, etc...",,,,,,,,,,,
PlayerController,,func_6476_a,flipPlayer,Flips the player around. Args: player,,,,,,,,,,,
cn (World),,func_648_a,setWorldTime,Sets the world time.,,,,,,,,,,,
TexturePackBase,,func_6480_b,closeTexturePackFile,Closes the zipfile associated to this texture pack. Does nothing for the default texture pack.,,,,,,,,,,,
cn (World),,func_649_g,tick,Runs a single tick for the world,,,,,,,,,,,
RenderManager,,func_6500_a,getFontRenderer,Returns the font renderer,DUPLICATE,DUPLICATE,,,,,,,,,
TileEntitySpecialRenderer,,func_6507_a,bindTextureByName,Binds a texture to the renderEngine given a filename from the JAR.,DUPLICATE,DUPLICATE,,,,,,,,,
TileEntitySpecialRenderer,,func_6508_a,getFontRenderer,*,DUPLICATE,DUPLICATE,,,,,,,,,
Tessellator,,func_6513_a,setColorRGBA_I,Sets the color to the given color (packed as bytes in integer) and alpha values.,,,,,,,,,,,
TileEntityRenderer,,func_6516_a,getFontRenderer,*,DUPLICATE,DUPLICATE,,,,,,,,,
GameSettings,,func_6519_a,loadOptions,"Loads the options from the options file. It appears that this has replaced the previous loadOptions""""",,,,,,,,,,,
RenderEngine,,func_6526_a,readTextureImage,Returns a BufferedImage read off the provided input stream.  Args: inputStream,DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_653_a,deleteFiles,Recursively deletes files from a folder.,,,,,,,,,,,
TexturePackList,,func_6530_b,availableTexturePacks,Returns a list of the available texture packs.,,,,,,,,,,,
TexturePackList,,func_6531_a,setTexturePack,"Sets the new TexturePack to be used, returning true if it has actually changed, false if nothing changed.",,,,,,,,,,,
World,,func_654_a,setBlockTileEntity,"Sets the TileEntity for a given block in X, Y, Z coordinates",DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_655_l,notifyBlockOfNeighborChange,"Notifies a block that one of its neighbor change to the specified type Args: x, y, z, blockID",,,,,,,,,,,
cn (World),,func_657_a,getEntitiesWithinAABB,"Returns all entities of the specified class type which intersect with the AABB. Args: entityClass, aabb",,,,,,,,,,,
cn (World),,func_659_b,getEntitiesWithinAABBExcludingEntity,"Will get all entities within the specified AABB excluding the one passed into it. Args: entityToExclude, aabb",,,,,,,,,,,
World,,func_660_k,sendQuittingDisconnectingPacket,"If on MP, sends a quitting packet.",DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_662_b,getIsAnyLiquid,Returns if any of the blocks within the aabb are liquids. Args: aabb,,,,,,,,,,,
cn (World),,func_664_b,setLightValue,"Sets the light value either into the sky map or block map depending on if enumSkyBlock is set to sky or block. Args: enumSkyBlock, x, y, z, lightValue",,,,,,,,,,,
cn (World),,func_666_c,getHeightValue,"Returns the y coordinate with a block in it at this x, z coordinate",,,,,,,,,,,
cn (World),,func_668_j,isBlockProvidingPowerTo,"Is this block powering in the specified direction Args: x, y, z, direction",,,,,,,,,,,
World,,func_669_m,saveLevel,Saves the global data associated with this World,DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_670_a,playRecord,"Plays a record at the specified coordinates of the specified name. Args: recordName, x, y, z",,,,,,,,,,,
cn (World),,func_671_a,calculateSkylightSubtracted,Returns the amount of skylight subtracted for the current time,,,,,,,,,,,
World,,func_672_b,removeWorldAccess,Removes a worldAccess from the worldAccesses object,DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_673_a,getChunkFromBlockCoords,"Returns a chunk looked up by block coordinates. Args: x, y",,,,,,,,,,,
cn (World),,func_674_a,entityJoinedWorld,Called when an entity is spawned in the world. This includes players.,,,,,,,,,,,
cn (World),,func_676_a,createExplosion,"Creates an explosion at the position with the specified force. Args: entity, x, y, z, force",,,,,,,,,,,
cn (World),,func_677_m,randomDisplayUpdates,"Randomly will call the random display update on a 1000 blocks within 16 units of the specified position. Args: x, y, z",,,,,,,,,,,
World,,func_678_c,releaseEntitySkin,Decrement the reference counter for this entity's skin image data,DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_681_h,scheduleBlockUpdate,"Schedules a specific block to be to ticked by its specified delay. Args: x, y, z, blockID",,,,,,,,,,,
cn (World),,func_683_a,getClosestPlayer,"Gets the closest player to the point within the specified distance (distance can be set to less than 0 to not limit the distance). Args: x, y, z, dist",,,,,,,,,,,
cn (World),,func_684_a,playSoundEffect,"Play a sound effect. Many many parameters for this function. Not sure what they do, but a classic call is : (double)i + 0.5D, (double)j + 0.5D, (double)k + 0.5D, ""random.door_open"", 1.0F, world.rand.nextFloat() * 0.1F + 0.9F with i,j,k position of the block.",,,,,,,,,,,
World,,func_688_b,setBlockAndMetadataWithNotify,"Sets the block ID and metadata, then notifies neighboring blocks of the change",DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_690_d,setBlockWithNotify,"Sets a block and notifies relevant systems with the block change  Args: x, y, z, blockID",,,,,,,,,,,
cn (World),,func_691_b,setBlockMetadataWithNotify,"Sets the blocks metadata and if set will then notify blocks that this block changed. Args: x, y, z, metadata",,,,,,,,,,,
World,,func_692_l,removeBlockTileEntity,"Removes the TileEntity for a given block in X,Y,Z coordinates",DUPLICATE,DUPLICATE,,,,,,,,,
cn (World),,func_694_a,spawnParticle,"Spawns a particle.  Args particleName, x, y, z, velX, velY, velZ",,,,,,,,,,,
World,,func_695_a,canBlockBePlacedAt,"Returns true if the specified block can be placed at the given coordinates, optionally making sure there are no entities in the way.  Args: blockID, x, y, z, ignoreEntities",,,,,,,,,,,
cn (World),,func_697_a,getCollidingBoundingBoxes,"Returns a list of bounding boxes that collide with aabb excluding the passed in entity's collision. Args: entity, aabb",,,,,,,,,,,
cn (World),,func_699_a,getBlockLightValue,"Gets the light value of a block location. This is the actual function that gets the value and has a bool flag that indicates if its a half step block to get the maximum light value of a direct neighboring block (left, right, forward, back, and up)",,,,,,,,,,,
cn (World),,func_700_a,TickUpdates,Runs through the list of updates to run and ticks them,,,,,,,,,,,
World,,func_702_a,getPathToEntity,Returns a path between two entities,,,,,,,,,,,
cn (World),,func_704_b,getChunkFromChunkCoords,"Returns back a chunk looked up by chunk coordinates Args: x, y",,,,,,,,,,,
cn (World),,func_706_k,isBlockIndirectlyProvidingPowerTo,"Is a block next to you getting powered (if its an attachable block) or is it providing power directly to you.  Args: x, y, z, direction",,,,,,,,,,,
World,,func_708_k,canExistingBlockSeeTheSky,"Determines if a block can see the sky or not, but if the proper chunk does not already exist, it does not create a new one.",DUPLICATE,DUPLICATE,,,,,,,,,
PlayerController,,func_719_a,clickBlock,"Called by Minecraft class when the player is hitting a block with an item. Args: x, y, z, side",,,,,,,,,,,
PlayerController,,func_722_a,sendPlaceBlock,"Tells the server a block at x,y,z coordinate",,,,,,,,,,,
PlayerController,,func_727_b,getBlockReachDistance,player reach distance = 4F,,,,,,,,,,,
PlayerController,,func_729_b,sendBlockRemoved,Notifies the server upon the completion of your removal of a block.,,,,,,,,,,,
el (NBTBase),,func_731_b,getTagName,"Returns the string name of a tag with the specified type, or ""UNKNOWN"" if invalid.",,,,,,,,,,,
el (NBTBase),,func_732_a,setKey,Sets the key for this tag and returns this for convenience.,,,,,,,,,,,
dy (NBTTagByteArray),,func_733_a,getType,Gets the type byte for the tag.,,,,,,,,,,,
el (NBTBase),,func_734_b,readTag,"Reads and returns a tag from the given DataInput, or the End tag if no tag could be read.",,,,,,,,,,,
NBTTagFloat,,func_735_a,writeTagContents,Write the actual data contents of the tag,implemented in NBT extension classes,DUPLICATE,,,,,,,,,
NBTTagFloat,,func_736_a,readTagContents,"Read the actual data contents of the tag, implemented in NBT extension classes",DUPLICATE,DUPLICATE,,,,,,,,,
el (NBTBase),,func_737_b,getKey,"Gets the key corresponding to the tag, or an empty string if none set.",,,,,,,,,,,
el (NBTBase),,func_738_a,writeTag,"Writes the specified tag to the given DataOutput, writing the type byte, the UTF string key and then calling the tag to write its data.",,,,,,,,,,,
el (NBTBase),,func_739_a,createTagOfType,"Creates and returns a new tag of the specified type, or null if invalid.",,,,,,,,,,,
ki (NBTTagList),,func_740_c,tagCount,Returns the number of tags in the list.,,,,,,,,,,,
ki (NBTTagList),,func_741_a,tagAt,Retrieves the tag at the specified index from the list.,,,,,,,,,,,
ki (NBTTagList),,func_742_a,setTag,Adds the provided tag to the end of the list. There is no check to verify this tag is of the same type as any previous tag.,,,,,,,,,,,
NBTTagCompound,,func_743_k,getCompoundTag,"Retrieves a NBTTagCompound subtag matching the specified key, or a new empty NBTTagCompound if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_744_a,setFloat,Stores a new NBTTagFloat with the given float value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_745_d,getShort,"Retrieves a short value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_746_c,getByte,"Retrieves a byte value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_747_a,setByteArray,Stores a new NBTTagByteArray with the given array as data into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_748_a,setBoolean,"Stores the given boolean value as a NBTTagByte, storing 1 for true and 0 for false, using the given string key.",,,,,,,,,,,
NBTTagCompound,,func_749_a,setShort,Stores a new NBTTagShort with the given short value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_750_a,setLong,Stores a new NBTTagLong with the given long value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_751_b,hasKey,Returns whether the given string has been previously stored as a key in the map.,,,,,,,,,,,
NBTTagCompound,,func_752_g,getFloat,"Retrieves a float value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_753_l,getTagList,"Retrieves a NBTTagList subtag matching the specified key, or a new empty NBTTagList if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_754_a,setString,Stores a new NBTTagString with the given string value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_755_i,getString,"Retrieves a string value using the specified key, or an empty string if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_756_e,getInteger,"Retrieves an integer value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_757_h,getDouble,"Retrieves a double value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_758_a,setInteger,Stores a new NBTTagInt with the given integer value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_759_j,getByteArray,"Retrieves a byte array using the specified key, or a zero-length array if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_760_m,getBoolean,"Retrieves a boolean value using the specified key, or false if no such key was stored. This uses the getByte method.",,,,,,,,,,,
NBTTagCompound,,func_761_a,setByte,Stores a new NBTTagByte with the given byte value into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_762_a,setTag,Stores the given tag into the map with the given string key. This is mostly used to store tag lists.,,,,,,,,,,,
NBTTagCompound,,func_763_a,setCompoundTag,Stores the given NBTTagCompound into the map with the given string key.,,,,,,,,,,,
NBTTagCompound,,func_764_f,getLong,"Retrieves a long value using the specified key, or 0 if no such key was stored.",,,,,,,,,,,
NBTTagCompound,,func_765_a,setDouble,Stores a new NBTTagDouble with the given double value into the map with the given string key.,,,,,,,,,,,
mx (HashEntry),,func_767_b,getValue,Returns the object stored in this entry,,,,,,,,,,,
mx (HashEntry),,func_768_a,getHash,Returns the hash code for this entry,,,,,,,,,,,
mu (NibbleArray),,func_769_a,isValid,Returns if the byte array is null or not.,,,,,,,,,,,
mu (NibbleArray),,func_770_a,setNibble,Sets the nibble of data at i << 11 | k << 7 | j to l.,,,,,,,,,,,
